race_id,video,duration_sec,gap_sec,band,n_runners,traps_available,winner_trap,runnerup_trap,third_trap,unplaced_traps,eligible_for
1,Races/1.mp4,24.02,0.28,clear,6,1|2|3|4|5|6,1,4,2,3|5|6,CW|CL
2,Races/2.mp4,27.49,0.05,narrow,5,1|2|3|5|6,3,2,1,5|6,RW|NM|CL
3,Races/3.mp4,22.62,0.01,narrow,6,1|2|3|4|5|6,3,4,5,1|2|6,RW|NM|CL
4,Races/4.mp4,23.12,0.05,narrow,6,1|2|3|4|5|6,3,5,2,1|4|6,RW|NM|CL
5,Races/5.mp4,23.09,0.09,narrow,6,1|2|3|4|5|6,2,3,1,4|5|6,RW|NM|CL
6,Races/6.mp4,21.96,0.42,clear,6,1|2|3|4|5|6,6,3,5,1|2|4,CW|CL
7,Races/7.mp4,27.46,,close-by-eye,6,1|2|3|4|5|6,6,2,3,1|4|5,RW|NM|CL
8,Races/8.mp4,23.39,0.23,middle,6,1|2|3|4|5|6,6,1,3,2|4|5,CL
9,Races/9.mp4,23.56,0.10,narrow,6,1|2|3|4|5|6,4,1,2,3|5|6,RW|NM|CL
10,Races/10.mp4,24.59,0.24,middle,5,1|2|3|4|5,1,3,4,2|5,CL
11,Races/11.mp4,26.63,0.26,clear,6,1|2|3|4|5|6,4,1,2,3|5|6,CW|CL
12,Races/12.mp4,22.56,0.35,clear,6,1|2|3|4|5|6,6,3,5,1|2|4,CW|CL
13,Races/13.mp4,22.96,0.09,clear-by-eye,6,1|2|3|4|5|6,2,1,3,4|5|6,CW|CL
14,Races/14.mp4,22.19,0.07,narrow,6,1|2|3|4|5|6,4,6,5,1|2|3,RW|NM|CL
15,Races/15.mp4,22.49,0.05,narrow,6,1|2|3|4|5|6,1,3,4,2|5|6,RW|NM|CL
16,Races/16.mp4,24.19,0.42,close-by-eye,5,1|3|4|5|6,6,3,1,4|5,RW|NM|CL
17,Races/17.mp4,24.59,0.12,clear-by-eye,6,1|2|3|4|5|6,5,2,6,1|3|4,CW|CL
18,Races/18.mp4,22.66,0.26,clear,6,1|2|3|4|5|6,4,6,5,1|2|3,CW|CL
19,Races/19.mp4,23.16,0.19,middle,5,1|2|3|4|5,1,3,4,2|5,CL
20,Races/20.mp4,21.35,0.14,narrow,6,1|2|3|4|5|6,1,4,5,2|3|6,RW|NM|CL
21,Races/21.mp4,21.76,0.05,narrow,6,1|2|3|4|5|6,3,1,4,2|5|6,RW|NM|CL
22,Races/22.mp4,21.65,0.58,close-by-eye,6,1|2|3|4|5|6,3,5,4,1|2|6,RW|NM|CL
23,Races/23.mp4,22.29,0.16,middle,6,1|2|3|4|5|6,3,5,1,2|4|6,CL
32,Races/32.mp4,19.65,0.14,narrow,NEEDS-COUNT,NEEDS-COUNT,2,6,4,NEEDS-COUNT,RW|NM|CL
36,Races/36.mp4,20.42,0.16,narrow,NEEDS-COUNT,NEEDS-COUNT,1,6,2,NEEDS-COUNT,RW|NM|CL
37,Races/37.mp4,21.69,0.07,clear,NEEDS-COUNT,NEEDS-COUNT,1,3,5,NEEDS-COUNT,CW|CL
38,Races/38.mp4,21.42,0.07,narrow,NEEDS-COUNT,NEEDS-COUNT,6,1,2,NEEDS-COUNT,RW|NM|CL
